shipper_name,recipient_name,count
C10-0000019-LIC (A.T.A.C.H.S. INC.),C11-0000834-LIC (KORBEN LABS LLC),1
C10-0000032-LIC (THE HEALING CENTER NEEDLES),C11-0000314-LIC (Med For America Inc.),1
"C10-0000056-LIC (THE GREEN GODDESS, INC.)","C11-0000255-LIC (LADYBUG FARMS, LLC)",1
"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)","C11-0000056-LIC (RUKLI, INC.)",1
"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)","C11-0000486-LIC (RJRC, LLC)",1
"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)","C11-0000578-LIC (9701 ENTERPRISES, INC.)",1
"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",C11-0000620-LIC (IRONWORKS COLLECTIVE INC.),1
"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)","C11-0001101-LIC (SENSE DISTRIBUTION, INC.)",2
"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)","C11-0001135-LIC (HERBL, INC.)",1
"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",C11-0001146-LIC (LCISM CORP),1
"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",C12-0000154-LIC (CALIFORNIA MARIJUANA COMPANY),1
C10-0000072-LIC (McFlower Corporation),C11-0000314-LIC (Med For America Inc.),1
"C10-0000084-LIC (THE COACHELLA LIGHTHOUSE, LLC)",C11-0000314-LIC (Med For America Inc.),2
"C10-0000093-LIC (Kush Alley, Inc)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000115-LIC (3242 Enterprises, Inc.)",C11-0000314-LIC (Med For America Inc.),1
C10-0000133-LIC (PURPLE STAR MD COLLECTIVE),C11-0000314-LIC (Med For America Inc.),2
"C10-0000141-LIC (LAX CC, INC.)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000151-LIC (HEALTHY HEALING HOLISTIC OPTIONS, INC)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000172-LIC (CALWAVE ENTERPRISES, INC.)","C11-0000425-LIC (GREENLEAF PROCESSORS, INC.)",1
C10-0000186-LIC (Alpine Alternative Naturopathic),"C11-0000425-LIC (GREENLEAF PROCESSORS, INC.)",1
"C10-0000187-LIC (HARBOR MANAGMENT GROUP, LLC)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000228-LIC (LA MESA HEALTH CENTER, INC.)",C11-0000314-LIC (Med For America Inc.),2
"C10-0000312-LIC (SAN FERNANDO VALLEY MEDICAL SUPPLY, INC.)",C11-0000314-LIC (Med For America Inc.),1
C10-0000371-LIC (ZEN HEALING COLLECTIVE CORPORATION),C11-0000314-LIC (Med For America Inc.),1
C10-0000397-LIC (CANNATOPIA GARDENS),C11-0000314-LIC (Med For America Inc.),1
"C10-0000434-LIC (LOS ANGELES VALLEY CAREGIVERS, INC.)",C11-0000314-LIC (Med For America Inc.),2
C10-0000444-LIC (Cana Roots),C11-0000314-LIC (Med For America Inc.),1
C10-0000446-LIC (SYLMAR CAREGIVERS INC.),C11-0000314-LIC (Med For America Inc.),1
C10-0000477-LIC (NO WAIT MEDS),C11-0000314-LIC (Med For America Inc.),1
C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),"C10-0000481-LIC (CALIFORNIA COMPASSIONATE CARE NETWORK, INC.)",1
C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),C11-0000137-LIC (FEELGOOD SALES GROUP),1
C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),C9-0000309-LIC (WHOLE GREENS CALIFORNIA MANAGEMENT INC),1
"C10-0000639-LIC (Seashore Enterprise Southern, LLC)",C11-0000834-LIC (KORBEN LABS LLC),1
"C10-0000685-LIC (ORGANIC CHOICE, A CA COMMERCIAL CANNABIS ASSOCIATION)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000732-LIC (NMG LONG BEACH, LLC)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000734-LIC (NHC LEMOORE, LLC)",C11-0000314-LIC (Med For America Inc.),1
C10-0000767-LIC (HOLLAND PHARMS INC.),C11-0000314-LIC (Med For America Inc.),1
"C10-0000790-LIC (PCH RETAIL PARTNER II, LLC)",C11-0000314-LIC (Med For America Inc.),2
C11-0000007-LIC (EMERALD CITY DISTRIBUTION),C11-0001267-LIC (Commerce on Demand LLC),2
"C11-0000014-LIC (CALIFORNIA STATE DISTRIBUTION, LLC)",C9-0000320-LIC (IN DA CUT LLC),3
C11-0000018-LIC (GREENPOINT HOLDINGS LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
C11-0000021-LIC (LAB TESTED GROVER BEACH),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000027-LIC (THE GROW FOUNDRY CALIFORNIA, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000030-LIC (CEA SERVICES, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",12
C11-0000032-LIC (CI DISTRIBUTION LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",7
"C11-0000035-LIC (WE CARE CAT CITY, INC.)",CDPH-10003462 (Baldwin Park TALE Corporation),1
"C11-0000045-LIC (STUDIO CITY CAREGIVERS, INC.)",CDPH-10003462 (Baldwin Park TALE Corporation),12
"C11-0000046-LIC (PROOF OPERATIONS, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",3
"C11-0000048-LIC (SAN DIEGO ALTERNATIVE CARE COOPERATIVE, INC.)",C11-0001267-LIC (Commerce on Demand LLC),2
C11-0000051-LIC (LIGHTWORK DISTRIBUTORS LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000054-LIC (GL420 ENTERPRISE, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000054-LIC (GL420 ENTERPRISE, INC.)",C9-0000320-LIC (IN DA CUT LLC),1
"C11-0000056-LIC (RUKLI, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",18
"C11-0000056-LIC (RUKLI, INC.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),3
"C11-0000056-LIC (RUKLI, INC.)",C11-0001267-LIC (Commerce on Demand LLC),5
"C11-0000056-LIC (RUKLI, INC.)",C9-0000320-LIC (IN DA CUT LLC),2
C11-0000058-LIC (SATELLITES DIP LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
C11-0000058-LIC (SATELLITES DIP LLC),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),4
C11-0000059-LIC (THE HEALING HEART COLLECTIVE),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),10
C11-0000061-LIC (UPNORTH DISTRIBUTION),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
"C11-0000062-LIC (FIRE CUT, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",7
"C11-0000062-LIC (FIRE CUT, LLC)","CDPH-10003556 (WTO Essentials, Inc)",1
"C11-0000064-LIC (HIGH CALIBER ORGANICS, INC.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),12
"C11-0000067-LIC (SAN JAC MANAGEMENT, LLC)",C11-0000314-LIC (Med For America Inc.),12
"C11-0000072-LIC (PHC Facilities, Inc.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",4
"C11-0000072-LIC (PHC Facilities, Inc.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),20
"C11-0000072-LIC (PHC Facilities, Inc.)",C11-0000314-LIC (Med For America Inc.),2
"C11-0000074-LIC (HERBAL REMEDIES CAREGIVERS, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",14
"C11-0000074-LIC (HERBAL REMEDIES CAREGIVERS, INC.)","C11-0000425-LIC (GREENLEAF PROCESSORS, INC.)",47
C11-0000092-LIC (HARDCAR SECURITY),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
"C11-0000092-LIC (HARD CAR SECURITY, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000107-LIC (FLUIDS MANUFACTURING, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",9
"C11-0000107-LIC (FLUIDS MANUFACTURING, INC.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),3
"C11-0000107-LIC (FLUIDS MANUFACTURING, INC.)",C9-0000320-LIC (IN DA CUT LLC),13
C11-0000118-LIC (SECURE HAULING LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
C11-0000118-LIC (SECURE HAULING LLC),C9-0000320-LIC (IN DA CUT LLC),2
C11-0000118-LIC (SECURE HAULING LLC),"CDPH-10003556 (WTO Essentials, Inc)",2
C11-0000124-LIC (PWN MANAGEMENT LLC),C11-0001267-LIC (Commerce on Demand LLC),2
"C11-0000127-LIC (INDUSTRIAL COURT L11, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",29
"C11-0000127-LIC (INDUSTRIAL COURT L11, LLC)",C11-0000314-LIC (Med For America Inc.),3
"C11-0000129-LIC (888 Lay, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
"C11-0000136-LIC (PACIFIC RESERVE NURSERY, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
C11-0000137-LIC (FEELGOOD SALES GROUP),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",6
C11-0000137-LIC (FEELGOOD SALES GROUP),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),10
C11-0000139-LIC (APEX SOLUTIONS),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",3
C11-0000141-LIC (AUREUS DHS LLC),C11-0001267-LIC (Commerce on Demand LLC),1
C11-0000156-LIC (HTC SOLUTIONS INC.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",3
C11-0000156-LIC (HTC SOLUTIONS INC.),"C10-0000226-LIC (VALLEY COLLECTIVE CARE, INC.)",2
C11-0000156-LIC (HTC SOLUTIONS INC.),C10-0000424-LIC (NATURAL REMEDIES CAREGIVERS),1
C11-0000156-LIC (HTC SOLUTIONS INC.),"C10-0000434-LIC (LOS ANGELES VALLEY CAREGIVERS, INC.)",3
C11-0000156-LIC (HTC SOLUTIONS INC.),C10-0000439-LIC (GREEN CROSS SOCIETY OF SOUTHERN CALIFORNIA CORPORATION),1
C11-0000156-LIC (HTC SOLUTIONS INC.),"C10-0000697-LIC (FREEDOM 1ST ASSOCIATION, INC.)",2
C11-0000156-LIC (HTC SOLUTIONS INC.),"C11-0000084-LIC (TERP WHOLESALE, LLC)",1
C11-0000156-LIC (HTC SOLUTIONS INC.),C11-0000246-LIC (BACKBONE DISTRIBUTION),1
C11-0000156-LIC (HTC SOLUTIONS INC.),C11-0000305-LIC (Euphoric Life Inc),1
C11-0000156-LIC (HTC SOLUTIONS INC.),"C11-0000306-LIC (GP OPERATIONS, INC.)",1
C11-0000156-LIC (HTC SOLUTIONS INC.),C11-0000368-LIC (PERFECT KUSH COOPERATIVE CORPORATION),3
C11-0000156-LIC (HTC SOLUTIONS INC.),"C11-0000385-LIC (ANAT GROUP, INC.)",1
C11-0000156-LIC (HTC SOLUTIONS INC.),C11-0000418-LIC (Nomad Brand Enterprises Inc.),4
C11-0000156-LIC (HTC SOLUTIONS INC.),"C11-0000458-LIC (PUBLIC ONLY SERVICES, INC.)",1
C11-0000156-LIC (HTC SOLUTIONS INC.),"C11-0000539-LIC (SEABRIGHT DISTRIBUTION, INC.)",1
C11-0000156-LIC (HTC SOLUTIONS INC.),C11-0000551-LIC (Relief CCR),6
C11-0000156-LIC (HTC SOLUTIONS INC.),"C11-0000717-LIC (VENICE SHORES MANAGEMENT, LLC)",7
C11-0000156-LIC (HTC SOLUTIONS INC.),C11-0000924-LIC (HIGHER PURPOSE DISTRIBUTION LLC),4
C11-0000156-LIC (HTC SOLUTIONS INC.),"C11-0000951-LIC (PALOMAR WORKS, INC.)",1
C11-0000156-LIC (HTC SOLUTIONS INC.),"C11-0001045-LIC (CANNABLE ORGANICS, INC.)",1
C11-0000156-LIC (HTC SOLUTIONS INC.),"C11-0001099-LIC (DELTA HEALTH, INC.)",1
