shipper_name,recipient_name,count
C10-0000019-LIC (A.T.A.C.H.S. INC.),C11-0000834-LIC (KORBEN LABS LLC),1
C10-0000032-LIC (THE HEALING CENTER NEEDLES),C11-0000314-LIC (Med For America Inc.),1
"C10-0000056-LIC (THE GREEN GODDESS, INC.)","C11-0000255-LIC (LADYBUG FARMS, LLC)",1
C10-0000072-LIC (McFlower Corporation),C11-0000314-LIC (Med For America Inc.),1
"C10-0000084-LIC (THE COACHELLA LIGHTHOUSE, LLC)",C11-0000314-LIC (Med For America Inc.),2
"C10-0000093-LIC (Kush Alley, Inc)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000115-LIC (3242 Enterprises, Inc.)",C11-0000314-LIC (Med For America Inc.),1
C10-0000133-LIC (PURPLE STAR MD COLLECTIVE),C11-0000314-LIC (Med For America Inc.),2
"C10-0000141-LIC (LAX CC, INC.)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000151-LIC (HEALTHY HEALING HOLISTIC OPTIONS, INC)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000172-LIC (CALWAVE ENTERPRISES, INC.)","C11-0000425-LIC (GREENLEAF PROCESSORS, INC.)",1
C10-0000186-LIC (Alpine Alternative Naturopathic),"C11-0000425-LIC (GREENLEAF PROCESSORS, INC.)",1
"C10-0000187-LIC (HARBOR MANAGMENT GROUP, LLC)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000228-LIC (LA MESA HEALTH CENTER, INC.)",C11-0000314-LIC (Med For America Inc.),2
"C10-0000312-LIC (SAN FERNANDO VALLEY MEDICAL SUPPLY, INC.)",C11-0000314-LIC (Med For America Inc.),1
C10-0000371-LIC (ZEN HEALING COLLECTIVE CORPORATION),C11-0000314-LIC (Med For America Inc.),1
C10-0000397-LIC (CANNATOPIA GARDENS),C11-0000314-LIC (Med For America Inc.),1
"C10-0000434-LIC (LOS ANGELES VALLEY CAREGIVERS, INC.)",C11-0000314-LIC (Med For America Inc.),2
C10-0000444-LIC (Cana Roots),C11-0000314-LIC (Med For America Inc.),1
C10-0000446-LIC (SYLMAR CAREGIVERS INC.),C11-0000314-LIC (Med For America Inc.),1
C10-0000477-LIC (NO WAIT MEDS),C11-0000314-LIC (Med For America Inc.),1
"C10-0000639-LIC (Seashore Enterprise Southern, LLC)",C11-0000834-LIC (KORBEN LABS LLC),1
"C10-0000685-LIC (ORGANIC CHOICE, A CA COMMERCIAL CANNABIS ASSOCIATION)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000732-LIC (NMG LONG BEACH, LLC)",C11-0000314-LIC (Med For America Inc.),1
"C10-0000734-LIC (NHC LEMOORE, LLC)",C11-0000314-LIC (Med For America Inc.),1
C10-0000767-LIC (HOLLAND PHARMS INC.),C11-0000314-LIC (Med For America Inc.),1
"C10-0000790-LIC (PCH RETAIL PARTNER II, LLC)",C11-0000314-LIC (Med For America Inc.),2
C11-0000007-LIC (EMERALD CITY DISTRIBUTION),C11-0001267-LIC (Commerce on Demand LLC),2
"C11-0000014-LIC (CALIFORNIA STATE DISTRIBUTION, LLC)",C9-0000320-LIC (IN DA CUT LLC),3
C11-0000018-LIC (GREENPOINT HOLDINGS LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
C11-0000021-LIC (LAB TESTED GROVER BEACH),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000027-LIC (THE GROW FOUNDRY CALIFORNIA, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000030-LIC (CEA SERVICES, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",12
C11-0000032-LIC (CI DISTRIBUTION LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",7
"C11-0000035-LIC (WE CARE CAT CITY, INC.)",CDPH-10003462 (Baldwin Park TALE Corporation),1
"C11-0000045-LIC (STUDIO CITY CAREGIVERS, INC.)",CDPH-10003462 (Baldwin Park TALE Corporation),12
"C11-0000046-LIC (PROOF OPERATIONS, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",3
"C11-0000048-LIC (SAN DIEGO ALTERNATIVE CARE COOPERATIVE, INC.)",C11-0001267-LIC (Commerce on Demand LLC),2
C11-0000051-LIC (LIGHTWORK DISTRIBUTORS LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000054-LIC (GL420 ENTERPRISE, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000054-LIC (GL420 ENTERPRISE, INC.)",C9-0000320-LIC (IN DA CUT LLC),1
"C11-0000056-LIC (RUKLI, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",18
"C11-0000056-LIC (RUKLI, INC.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),3
"C11-0000056-LIC (RUKLI, INC.)",C11-0001267-LIC (Commerce on Demand LLC),5
"C11-0000056-LIC (RUKLI, INC.)",C9-0000320-LIC (IN DA CUT LLC),2
C11-0000058-LIC (SATELLITES DIP LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
C11-0000058-LIC (SATELLITES DIP LLC),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),4
C11-0000059-LIC (THE HEALING HEART COLLECTIVE),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),10
C11-0000061-LIC (UPNORTH DISTRIBUTION),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
"C11-0000062-LIC (FIRE CUT, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",7
"C11-0000062-LIC (FIRE CUT, LLC)","CDPH-10003556 (WTO Essentials, Inc)",1
"C11-0000064-LIC (HIGH CALIBER ORGANICS, INC.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),12
"C11-0000067-LIC (SAN JAC MANAGEMENT, LLC)",C11-0000314-LIC (Med For America Inc.),12
"C11-0000072-LIC (PHC Facilities, Inc.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",4
"C11-0000072-LIC (PHC Facilities, Inc.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),20
"C11-0000072-LIC (PHC Facilities, Inc.)",C11-0000314-LIC (Med For America Inc.),2
"C11-0000074-LIC (HERBAL REMEDIES CAREGIVERS, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",14
"C11-0000074-LIC (HERBAL REMEDIES CAREGIVERS, INC.)","C11-0000425-LIC (GREENLEAF PROCESSORS, INC.)",47
C11-0000092-LIC (HARDCAR SECURITY),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
"C11-0000092-LIC (HARD CAR SECURITY, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000107-LIC (FLUIDS MANUFACTURING, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",9
"C11-0000107-LIC (FLUIDS MANUFACTURING, INC.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),3
"C11-0000107-LIC (FLUIDS MANUFACTURING, INC.)",C9-0000320-LIC (IN DA CUT LLC),13
C11-0000118-LIC (SECURE HAULING LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
C11-0000118-LIC (SECURE HAULING LLC),C9-0000320-LIC (IN DA CUT LLC),2
C11-0000118-LIC (SECURE HAULING LLC),"CDPH-10003556 (WTO Essentials, Inc)",2
C11-0000124-LIC (PWN MANAGEMENT LLC),C11-0001267-LIC (Commerce on Demand LLC),2
"C11-0000127-LIC (INDUSTRIAL COURT L11, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",29
"C11-0000127-LIC (INDUSTRIAL COURT L11, LLC)",C11-0000314-LIC (Med For America Inc.),3
"C11-0000129-LIC (888 Lay, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
"C11-0000136-LIC (PACIFIC RESERVE NURSERY, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
C11-0000137-LIC (FEELGOOD SALES GROUP),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",6
C11-0000137-LIC (FEELGOOD SALES GROUP),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),10
C11-0000139-LIC (APEX SOLUTIONS),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",3
C11-0000141-LIC (AUREUS DHS LLC),C11-0001267-LIC (Commerce on Demand LLC),1
C11-0000156-LIC (HTC SOLUTIONS INC.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",3
C11-0000156-LIC (HTC SOLUTIONS INC.),C11-0001267-LIC (Commerce on Demand LLC),1
C11-0000156-LIC (HTC SOLUTIONS INC.),CCL19-0000362 (HTC Solutions),1
C11-0000164-LIC (LIGHT BOX LEASING CORP.),C11-0000314-LIC (Med For America Inc.),1
"C11-0000173-LIC (COASTAL BUSINESS DISTRIBUTION, LLC)",C9-0000320-LIC (IN DA CUT LLC),2
"C11-0000174-LIC (PUNCH MEDIA, LLC)",C9-0000320-LIC (IN DA CUT LLC),1
"C11-0000179-LIC (NORTHRIDGE CAREGIVERS CO-OP, INC.)",C11-0000156-LIC (HTC SOLUTIONS INC.),1
"C11-0000187-LIC (Clearview Management Solutions, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
"C11-0000187-LIC (Clearview Management Solutions, LLC)",C9-0000320-LIC (IN DA CUT LLC),2
C11-0000197-LIC (CIRCLE OF HOPE ALLIANCE),CDPH-10003462 (Baldwin Park TALE Corporation),1
"C11-0000199-LIC (P&B LABS HUMBOLDT, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",3
"C11-0000209-LIC (EDIBLES LIST, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",4
C11-0000213-LIC (WONDERLAND OASIS INC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
C11-0000216-LIC (DELIVERMD),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),1
C11-0000222-LIC (BALL FAMILY FARMS COOPERATIVE),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",8
C11-0000222-LIC (BALL FAMILY FARMS CORPORATION),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
C11-0000224-LIC (OZ DISTRIBUTION INC.),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
"C11-0000235-LIC (JDI FARMS, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",2
C11-0000245-LIC (KANAPLYA LLC),C9-0000320-LIC (IN DA CUT LLC),2
"C11-0000255-LIC (LADYBUG FARMS, LLC)",CCL18-0003249 (Ladybug Farms LLC),9
"C11-0000256-LIC (CALIFORNIA LOYAL, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",9
"C11-0000256-LIC (CALIFORNIA LOYAL, INC.)",C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),6
"C11-0000258-LIC (YERBA BUENA LOGISTICS SERVICES, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",12
"C11-0000259-LIC (CSPA GROUP, INC.)",C11-0000314-LIC (Med For America Inc.),8
"C11-0000260-LIC (BOUTIQUE UNLIMITED DISTRIBUTION, LLC)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",24
C11-0000265-LIC (Crown Genetics LLC),C11-0000314-LIC (Med For America Inc.),5
"C11-0000266-LIC (RADIANT FARM, INC.)","C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",5
"C11-0000266-LIC (RADIANT FARM, INC.)",C11-0001267-LIC (Commerce on Demand LLC),1
C11-0000273-LIC (The Reefinery),C11-0001267-LIC (Commerce on Demand LLC),1
C11-0000276-LIC (BIG TREE INDUSTRIES),C11-0001267-LIC (Commerce on Demand LLC),1
C11-0000277-LIC (COACHELLA DISTRIBUTION CO.),CCL19-0000362 (HTC Solutions),1
C11-0000279-LIC (JDF CM1 LLC),"C10-0000064-LIC (HUENEME PATIENT CONSUMER COLLECTIVE, LLC.)",1
C11-0000279-LIC (JDF CM1 LLC),C10-0000596-LIC (ROYAL APOTHECARY L.L.C.),1
